time,uid,cpu,memory,gpu,gang_id
0.0,pod-0,0.8,2.5,0,
1.2,pod-1,1.2,3.1,0,
2.8,pod-2,0.5,1.2,1,gang-A
3.1,pod-3,1.5,4.0,0,gang-A
4.5,pod-4,0.3,0.8,0,
6.0,pod-5,2.0,5.0,2,gang-B
6.1,pod-6,1.8,4.5,2,gang-B
7.3,pod-7,0.9,2.0,0,
9.0,pod-8,3.5,8.0,0,
10.5,pod-9,0.6,1.5,0,
12.0,pod-10,1.0,2.0,0,
13.2,pod-11,0.4,1.0,0,
14.8,pod-12,2.5,6.0,1,gang-C
15.0,pod-13,2.2,5.5,1,gang-C
15.2,pod-14,1.8,4.0,0,gang-C
17.0,pod-15,0.7,1.8,0,
18.5,pod-16,1.3,3.2,0,
20.0,pod-17,0.2,0.5,0,
21.5,pod-18,4.0,10.0,1,
23.0,pod-19,0.9,2.2,0,
24.5,pod-20,1.6,4.0,0,
26.0,pod-21,0.5,1.1,0,
27.5,pod-22,2.0,5.0,0,
29.0,pod-23,1.2,3.0,0,
30.5,pod-24,0.8,2.0,0,
32.0,pod-25,3.0,7.0,2,gang-D
32.5,pod-26,2.8,6.5,2,gang-D
33.0,pod-27,2.5,6.0,0,gang-D
35.0,pod-28,0.6,1.5,0,
36.5,pod-29,1.5,3.5,0,
38.0,pod-30,0.4,1.0,0,
40.0,pod-31,2.2,5.0,1,
42.0,pod-32,0.7,1.8,0,
43.5,pod-33,1.8,4.5,0,
45.0,pod-34,3.2,8.0,2,gang-E
45.2,pod-35,3.0,7.5,2,gang-E
46.0,pod-36,0.5,1.2,0,
47.5,pod-37,1.0,2.5,0,
49.0,pod-38,0.3,0.8,0,
51.0,pod-39,2.5,6.0,0,
52.5,pod-40,1.2,3.0,0,
54.0,pod-41,0.6,1.5,0,
56.0,pod-42,1.8,4.0,0,
57.5,pod-43,0.4,1.0,0,
59.0,pod-44,3.0,7.0,1,
61.0,pod-45,0.9,2.2,0,
62.5,pod-46,2.0,5.0,0,
64.0,pod-47,1.3,3.2,0,
66.0,pod-48,0.7,1.8,0,
67.5,pod-49,1.5,3.5,0,
69.0,pod-50,0.5,1.2,0,
71.0,pod-51,2.8,6.5,2,gang-F
71.5,pod-52,2.5,6.0,2,gang-F
72.0,pod-53,2.2,5.5,0,gang-F
74.0,pod-54,0.6,1.5,0,
76.0,pod-55,1.2,3.0,0,
77.5,pod-56,0.3,0.8,0,
79.0,pod-57,3.5,8.0,0,
81.0,pod-58,0.8,2.0,0,
82.5,pod-59,1.5,3.5,0,
84.0,pod-60,2.0,5.0,1,
86.0,pod-61,0.4,1.0,0,
87.5,pod-62,1.8,4.5,0,
89.0,pod-63,0.9,2.2,0,
91.0,pod-64,1.0,2.5,0,
92.5,pod-65,3.0,7.0,0,
94.0,pod-66,0.5,1.2,0,
96.0,pod-67,2.5,6.0,2,gang-G
96.5,pod-68,2.2,5.5,2,gang-G
97.0,pod-69,2.0,5.0,0,gang-G
99.0,pod-70,0.6,1.5,0,
101.0,pod-71,1.3,3.2,0,
102.5,pod-72,0.7,1.8,0,
104.0,pod-73,1.5,3.5,0,
106.0,pod-74,0.8,2.0,0,
107.5,pod-75,2.0,5.0,0,
109.0,pod-76,0.4,1.0,0,
111.0,pod-77,1.2,3.0,0,
112.5,pod-78,0.5,1.2,0,
114.0,pod-79,3.2,8.0,1,
116.0,pod-80,0.9,2.2,0,
117.5,pod-81,1.8,4.5,0,
119.0,pod-82,0.6,1.5,0,
121.0,pod-83,2.5,6.0,0,
122.5,pod-84,1.0,2.5,0,
124.0,pod-85,0.3,0.8,0,
126.0,pod-86,2.0,5.0,0,
127.5,pod-87,0.7,1.8,0,
129.0,pod-88,1.5,3.5,0,
131.0,pod-89,0.5,1.2,0,
132.5,pod-90,3.0,7.0,2,gang-H
133.0,pod-91,2.8,6.5,2,gang-H
134.0,pod-92,0.8,2.0,0,
136.0,pod-93,1.2,3.0,0,
137.5,pod-94,0.4,1.0,0,
139.0,pod-95,1.8,4.5,0,
141.0,pod-96,0.6,1.5,0,
142.5,pod-97,2.2,5.5,0,
144.0,pod-98,0.9,2.2,0,
146.0,pod-99,1.0,2.5,0,
